Study,headstable,Scan,ROI,CoordSys,Subjects,Women,Gender,Mode,FixedRandom,Stimuli,Method_,Emotion,Valence,EERMean,EERSD,EERRS,Subtraction,Contrast,Target,Ref,Other,Intrascan_cog,x,y,z,zscore,tscore,p_threshold,pcorrection,Region,Notes,SubjectiveWeights,Affect_focus,Cog_load,object_eval,feel_arousal,phys_arous
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,48,-78,-1,NaN,14.1,0.01,corrected,R_inferior_occipital_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,53,-44,11,NaN,9.54,0.01,corrected,R_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,46,-42,-20,NaN,10.05,0.01,corrected,R_fusiform_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,-42,-80,2,NaN,11.87,0.01,corrected,L_middle_occipital_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,-40,-49,-14,NaN,8.25,0.01,corrected,L_Fusiform_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,-51,-52,14,NaN,7.38,0.01,corrected,L_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,55,6,-29,NaN,7.5,0.01,corrected,R_middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,-12,-72,-18,NaN,6.77,0.01,corrected,L_lingual_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Neutral_film,2,NaN,NaN,NaN,NaN,12,-72,-33,NaN,5.52,0.01,corrected,R_Cerebellum,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Sadness_film,3,NaN,NaN,NaN,NaN,51,-66,5,NaN,8.11,0.01,corrected,R_middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,happy,pos,no,no,yes,Amusement_film_vs_Sadness_film,3,NaN,NaN,NaN,NaN,-44,-75,15,NaN,6.89,0.01,corrected,L_middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Amusement_film,4,NaN,NaN,NaN,NaN,-57,-16,-2,NaN,7.79,0.01,corrected,L_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Amusement_film,4,NaN,NaN,NaN,NaN,37,26,-26,NaN,6.49,0.01,corrected,R_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Amusement_film,4,NaN,NaN,NaN,NaN,-32,12,-17,NaN,5.69,0.01,corrected,L_inferior_frontal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,pos,no,no,no,amusing_films_vs_neutral_films,5,amsuing_films,neutral_films,NaN,NaN,48,-74,-3,NaN,12.9,0.05,corrected,R_occipitotemporal_area_and_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,pos,no,no,no,amusing_films_vs_neutral_films,5,amsuing_films,neutral_films,NaN,NaN,53,6,-27,NaN,5.6,0.05,corrected,R_Middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,pos,no,no,no,amusing_films_vs_neutral_films,5,amsuing_films,neutral_films,NaN,NaN,-38,-80,1,NaN,11.53,0.05,corrected,L_occipitotemporal_area_and_gyrus_fusiformis,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,pos,no,no,no,amusing_films_vs_neutral_films,5,amsuing_films,neutral_films,NaN,NaN,-46,16,-31,NaN,5.44,0.05,corrected,L_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,pos,no,no,no,amusing_films_vs_neutral_films,5,amsuing_films,neutral_films,NaN,NaN,-12,-69,-12,NaN,6.82,0.05,corrected,L_cerebellum,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,44,-80,-9,NaN,8.84,0.05,corrected,R_occipital_area_and_cerebellum,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,44,-46,-18,NaN,5.43,0.05,corrected,R_fusiform_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,65,-14,-3,NaN,8.72,0.05,corrected,R_Middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,55,7,-21,NaN,6.68,0.05,corrected,R_Middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,46,0,-42,NaN,5.7,0.05,corrected,R_Middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,-61,-16,1,NaN,11.24,0.05,corrected,L_superior_and_middle_temporal_area,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,-40,-82,-6,NaN,8.74,0.05,corrected,L_inferior_occipital_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,-48,-8,41,NaN,5.55,0.05,corrected,L_precentral_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,-6,54,29,NaN,5.68,0.05,corrected,L_Superior_frontal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2005,no,PET,yes,T88,11,11,f,exp,rand,film,visual,aff,neg,no,no,no,sad_films_vs_neutral_films,6,sad_films,neutral_films,NaN,NaN,6,9,57,NaN,5.15,0.05,corrected,R_Superior_frontal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Adams2003,no,fMRI,yes,SPM99,11,3,b,per,rand,faces,visual,mixed,neg,NaN,NaN,NaN,ambiguous_vs_clear_threat,7,NaN,NaN,NaN,NaN,-15,0,-18,NaN,NaN,0.01,uncorrected,L_amygdala,NaN,1,background,yes,NaN,NaN,n
Anderson03,no,fMRI,yes,MNI,16,8,b,exp,rand,odor,olfaction,aff,pos,yes,yes,yes,correlated_with_pleasantness_ratings,8,NaN,NaN,NaN,NaN,12,17,-18,NaN,NaN,0.005,uncorrected,subcallosal_gyrus,NaN,1,background,yes,NaN,NaN,n
Anderson03,no,fMRI,yes,MNI,16,8,b,exp,rand,odor,olfaction,aff,neg,yes,yes,yes,correlated_with_unpleasantness_ratings,9,NaN,NaN,NaN,NaN,-18,51,-19,NaN,NaN,0.005,uncorrected,L_anterior_lateral_orbitofrontal_gyri,NaN,1,background,yes,NaN,NaN,n
Anderson03,no,fMRI,yes,MNI,16,8,b,exp,rand,odor,olfaction,aff,neg,yes,yes,yes,correlated_with_unpleasantness_ratings,9,NaN,NaN,NaN,NaN,8,65,-17,NaN,NaN,0.005,uncorrected,R_anterior_medial_orbitofrontal_gyri,NaN,1,background,yes,NaN,NaN,n
Aron2005,no,fMRI,yes,MNI,17,10,b,exp,rand,pictures,imagery,aff,pos,no,no,no,pictures_of_romantic_partners_vs_pictures_of_acquaintances,10,NaN,NaN,NaN,NaN,-16,1,22,NaN,NaN,0.05,corrected,L_anterodorsal_caudate_body,NaN,1,foreground,yes,feeling,high,n
Aron2005,no,fMRI,yes,MNI,17,10,b,exp,rand,pictures,imagery,aff,pos,no,no,no,pictures_of_romantic_partners_vs_pictures_of_acquaintances,10,NaN,NaN,NaN,NaN,12,11,14,NaN,NaN,0.05,corrected,R_medial_caudate_body,NaN,1,foreground,yes,feeling,high,n
Aron2005,no,fMRI,yes,MNI,17,10,b,exp,rand,pictures,imagery,aff,pos,no,no,no,pictures_of_romantic_partners_vs_pictures_of_acquaintances,10,NaN,NaN,NaN,NaN,18,-18,22,NaN,NaN,0.05,corrected,R_posterodorsal_caudate_body,NaN,1,foreground,yes,feeling,high,n
Aron2005,no,fMRI,yes,MNI,17,10,b,exp,rand,pictures,imagery,aff,pos,no,no,no,pictures_of_romantic_partners_vs_pictures_of_acquaintances,10,NaN,NaN,NaN,NaN,14,-4,22,NaN,NaN,0.05,corrected,R_anteodorsal_caudate_body,NaN,1,foreground,yes,feeling,high,n
Aron2005,no,fMRI,yes,MNI,17,10,b,exp,rand,pictures,imagery,aff,pos,no,no,no,pictures_of_romantic_partners_vs_pictures_of_acquaintances,10,NaN,NaN,NaN,NaN,30,-52,4,NaN,NaN,0.05,corrected,R_posterior_cingulate,NaN,1,foreground,yes,feeling,high,n
Aron2005,no,fMRI,yes,MNI,17,10,b,exp,rand,pictures,imagery,aff,pos,no,no,no,pictures_of_romantic_partners_vs_pictures_of_acquaintances,10,NaN,NaN,NaN,NaN,2,-15,-9,NaN,NaN,0.05,corrected,R_ventral_tegmental_area,NaN,1,foreground,yes,feeling,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,36,20,-8,3.74,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,-44,32,-8,3.09,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,46,16,4,3.55,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,-24,32,36,3.27,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,44,0,36,3.29,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,0,6,56,3.77,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,-4,-38,16,3.77,NaN,0.001,uncorrected,pcc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,sad,neg,yes,yes,no,Sad_neutral,11,sad,neutral,verb_fluency,verb_fluency,0,-32,40,2.91,NaN,0.001,uncorrected,pcc,NaN,0.75,background,yes,NaN,low,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-30,28,-8,4.17,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,30,24,-8,4.47,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-26,28,0,3.94,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-34,52,8,3.28,NaN,0.001,uncorrected,lpfc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-30,32,40,4.78,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-16,40,36,4.33,NaN,0.001,uncorrected,mpfc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-14,24,56,3.59,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,24,4,40,3.09,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-36,14,48,3.24,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,-24,16,56,3.31,NaN,0.001,uncorrected,psmc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,34,-46,28,3.85,NaN,0.001,uncorrected,pc,NaN,0.75,background,yes,NaN,high,n
Baker97,no,PET,no,T88,10,0,m,exp,fixed,music,auditory,happy,pos,yes,yes,no,Happy_neutral,12,happy,neutral,verb_fluency,verb_fluency,2,-12,-8,3.98,NaN,0.001,uncorrected,hy,NaN,0.75,background,yes,NaN,high,n
Beauregard01,no,fMRI,yes,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,13,sexual,neutral,also_suppression_cond,passive,25,-3,-14,4.17,NaN,0.05,corrected,amy,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,yes,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,13,sexual,neutral,also_suppression_cond,passive,32,20,-26,4.05,NaN,0.05,corrected,tp,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,yes,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,13,sexual,neutral,also_suppression_cond,passive,1,-7,-9,3.97,NaN,0.05,corrected,hy,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,no,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,14,sexual,neutral,also_suppression_cond,passive,-48,-72,0,19.2,NaN,0.05,corrected,oc,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,no,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,14,sexual,neutral,also_suppression_cond,passive,51,-66,-9,17.48,NaN,0.05,corrected,tc,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,no,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,14,sexual,neutral,also_suppression_cond,passive,30,-70,33,11.9,NaN,0.05,corrected,oc,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,no,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,14,sexual,neutral,also_suppression_cond,passive,27,-57,60,11.85,NaN,0.05,corrected,pc,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,no,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,14,sexual,neutral,also_suppression_cond,passive,-30,-54,60,11.83,NaN,0.05,corrected,pc,NaN,1,NaN,no,NaN,high,n
Beauregard01,no,fMRI,no,SPM99,10,0,m,exp,rand,film,visual,aff,pos,yes,no,no,sexual_vs_neutral,14,sexual,neutral,also_suppression_cond,passive,-24,-84,21,11.28,NaN,0.05,corrected,pc,NaN,1,NaN,no,NaN,high,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,-59,-42,2,3.05,NaN,0.0002,uncorrected,tc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,0,55,11,4.44,NaN,0.0002,uncorrected,mpfc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,-5,49,29,3.8,NaN,0.0002,uncorrected,mpfc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,0,27,-24,3.12,NaN,0.0002,uncorrected,ofc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,17,6,68,3.11,NaN,0.0002,uncorrected,psmc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,40,22,-17,4.27,NaN,0.0002,uncorrected,lpfc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,-29,20,-20,4.26,NaN,0.0002,uncorrected,lpfc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,-36,20,-18,4.22,NaN,0.0002,uncorrected,lpfc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,-44,30,-3,3.24,NaN,0.0002,uncorrected,lpfc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard97,no,PET,no,T88,10,0,m,exp,fixed,words,visual,aff,mixed,no,no,no,emotional_words_vs_control_words,15,pu,neutral,missing_info,passive,-8,42,-8,3.28,NaN,0.0002,uncorrected,scc,NaN,0.75,NaN,no,NaN,NaN,n
Beauregard98,no,fMRI,no,T88,7,4,b,exp,fixed,film,visual,sad,neg,yes,yes,yes,sad_vs_neutral,16,sad,neutral,missing_info,passive,0,44,32,7.74,NaN,0.001,uncorrected,mpfc,NaN,0.75,NaN,no,NaN,neutral,n
Beauregard98,no,fMRI,no,T88,7,4,b,exp,fixed,film,visual,sad,neg,yes,yes,yes,sad_vs_neutral,16,sad,neutral,missing_info,passive,4,62,30,7.51,NaN,0.001,uncorrected,mpfc,NaN,0.75,NaN,no,NaN,neutral,n
Beauregard98,no,fMRI,no,T88,7,4,b,exp,fixed,film,visual,sad,neg,yes,yes,yes,sad_vs_neutral,16,sad,neutral,missing_info,passive,-40,-66,-22,6.8,NaN,0.001,uncorrected,cb,NaN,0.75,NaN,no,NaN,neutral,n
